"90013","STANDARD","Los Angeles",,"Federal","CA","Los Angeles County","America/Los_Angeles","213,818,323,562,626,310,415,661,805","34.04","-118.24","NA","US","0","3973",
"90014","STANDARD","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213,310,805,323,626,818,424,562,661","34.04","-118.25","NA","US","0","3272",
"90015","STANDARD","Los Angeles",,"Del Valle Finance, Dowtown Carrier Annex, Textile Finance","CA","Los Angeles County","America/Los_Angeles","213,323,818,310,562,626","34.03","-118.26","NA","US","0","10390",
"90016","STANDARD","Los Angeles",,"West Adams","CA","Los Angeles County","America/Los_Angeles","213,323,310,909","34.02","-118.35","NA","US","0","34391",
"90017","STANDARD","Los Angeles",,"Foy","CA","Los Angeles County","America/Los_Angeles","213,760,714,818,310,323,707,424,562,626","34.05","-118.26","NA","US","0","11309",
"90018","STANDARD","Los Angeles",,"Cimarron, Dockweiler","CA","Los Angeles County","America/Los_Angeles","323,213","34.02","-118.31","NA","US","0","33029",
"90019","STANDARD","Los Angeles",,"Rimpau","CA","Los Angeles County","America/Los_Angeles","213,323,310","34.04","-118.34","NA","US","0","43752",
"90020","STANDARD","Los Angeles",,"Sanford","CA","Los Angeles County","America/Los_Angeles","310,323,213,818,562,626","34.06","-118.31","NA","US","0","25029",
"90021","STANDARD","Los Angeles",,"Market","CA","Los Angeles County","America/Los_Angeles","213,562,661,323,714","34.03","-118.24","NA","US","0","1621",
"90022","STANDARD","Los Angeles","Commerce, East Los Angeles, Est Ls Angls",,"CA","Los Angeles County","America/Los_Angeles","626,323,213,562","34.02","-118.15","NA","US","0","46198",
"90023","STANDARD","Los Angeles","Commerce","Lugo","CA","Los Angeles County","America/Los_Angeles","626,323,213","34.01","-118.2","NA","US","0","30786",
"90024","STANDARD","Los Angeles",,"Village","CA","Los Angeles County","America/Los_Angeles","310,626,818,323","34.06","-118.43","NA","US","0","22009",
"90025","STANDARD","Los Angeles","W Los Angeles, West Los Angeles","Wla","CA","Los Angeles County","America/Los_Angeles","310,323,626,213,818,424","34.04","-118.44","NA","US","0","34463",
"90026","STANDARD","Los Angeles",,"Echo Park, Edendale, Silver Lake","CA","Los Angeles County","America/Los_Angeles","213,323,818","34.07","-118.26","NA","US","0","46916",
"90027","STANDARD","Los Angeles",,"Hollywood, Los Feliz","CA","Los Angeles County","America/Los_Angeles","213,323,818","34.12","-118.28","NA","US","0","33916",
"90028","STANDARD","Los Angeles","Hollywood",,"CA","Los Angeles County","America/Los_Angeles","323,626,213,310,818,707","34.1","-118.32","NA","US","0","18687",
"90029","STANDARD","Los Angeles",,"Vermont","CA","Los Angeles County","America/Los_Angeles","213,323","34.09","-118.29","NA","US","0","26270",
"90030","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.23","NA","US","0","0",
"90031","STANDARD","Los Angeles","Lincoln Heights, Lincoln Hts",,"CA","Los Angeles County","America/Los_Angeles","213,323,310,818","34.08","-118.2","NA","US","0","26797",
"90032","STANDARD","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213,323,626","34.08","-118.17","NA","US","0","32538",
"90033","STANDARD","Los Angeles",,"Boyle Heights","CA","Los Angeles County","America/Los_Angeles","213,323,510,626","34.04","-118.21","NA","US","0","28923",
"90034","STANDARD","Los Angeles",,"Palms","CA","Los Angeles County","America/Los_Angeles","323,310,213","34.02","-118.39","NA","US","0","42620",
"90035","STANDARD","Los Angeles",,"Preuss","CA","Los Angeles County","America/Los_Angeles","323,310,818,213","34.05","-118.38","NA","US","0","20647",
"90036","STANDARD","Los Angeles",,"Farmer Market, Miracle Mile, Wilshire-la Brea","CA","Los Angeles County","America/Los_Angeles","213,310,323,510,818","34.06","-118.35","NA","US","0","26227",
"90037","STANDARD","Los Angeles",,"Green","CA","Los Angeles County","America/Los_Angeles","323,213,818,310","34","-118.28","NA","US","0","37811",
"90038","STANDARD","Los Angeles","W Hollywood, West Hollywood","Hollywood, Wilcox","CA","Los Angeles County","America/Los_Angeles","213,323,818,310","34.08","-118.32","NA","US","0","18877",
"90039","STANDARD","Los Angeles",,"Griffith","CA","Los Angeles County","America/Los_Angeles","323,213,818","34.11","-118.26","NA","US","0","22944",
"90040","STANDARD","Los Angeles","Commerce, Cty Of Cmmrce",,"CA","Los Angeles County","America/Los_Angeles","323,714,626,310,213,760","33.99","-118.14","NA","US","0","9350",
"90041","STANDARD","Los Angeles","Eagle Rock",,"CA","Los Angeles County","America/Los_Angeles","213,323,626,818,949","34.13","-118.2","NA","US","0","20920",
"90042","STANDARD","Los Angeles","Highland Park",,"CA","Los Angeles County","America/Los_Angeles","213,323,818","34.11","-118.19","NA","US","0","43949",
"90043","STANDARD","Los Angeles","View Park, Windsor Hills","La Tijera","CA","Los Angeles County","America/Los_Angeles","323,213,310","33.98","-118.33","NA","US","0","32064",
"90044","STANDARD","Los Angeles","August F. Haw","Hancock","CA","Los Angeles County","America/Los_Angeles","323,310,213","33.95","-118.29","NA","US","0","56462",
"90045","STANDARD","Los Angeles","Westchester","Bradley International, Playa Vista","CA","Los Angeles County","America/Los_Angeles","310,562,213,323,650","33.95","-118.4","NA","US","0","29336",
"90046","STANDARD","Los Angeles","W Hollywood, West Hollywood",,"CA","Los Angeles County","America/Los_Angeles","213,323,661,310,714,909","34.1","-118.37","NA","US","0","34474",
